"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Itsiite","Itsiite","Ba2Ca(BSi2O7)2","Hyalotekite"
"Ivanyukite-Cu","Ivanyukite-Cu","Cu[Ti4O2(OH)2(SiO4)3]·7H2O","Pharmacosiderite"
"Ivanyukite-K","Ivanyukite-K","K2[Ti4O2(OH)2(SiO4)3]·9H2O","Pharmacosiderite"
"Ivanyukite-Na","Ivanyukite-Na","Na2[Ti4O2(OH)2(SiO4)3]·6H2O","Pharmacosiderite"
"Ivsite","Ivsite","Na3H(SO4)2"," "
"Iwashiroite-(Y)","Iwashiroite-(Y)","YTaO4"," "
"Iwateite","Iwateite","Na2BaMn(PO4)2","Aphthitalite"
"Ixiolite","Ixiolite","(Ta,Mn,Nb)O2","Columbite"
"Iyoite","Iyoite","MnCuCl(OH)3","Atacamite"
"Izoklakeite","Izoklakeite","Pb26.4(Cu,Fe)2(Sb,Bi)19.6S57","Kobellite"
"Jáchymovite","Jachymovite","(UO2)8(SO4)(OH)14·13H2O"," "
"Jacobsite","Jacobsite","Mn2+Fe3+2O4","Spinel"
"Jacquesdietrichite","Jacquesdietrichite","Cu2BO(OH)5"," "
"Jacutingaite","Jacutingaite","Pt2HgSe3","Jacutingaite"
"Jadarite","Jadarite","LiNaB3SiO7(OH)"," "
"Jadeite","Jadeite","NaAlSi2O6","Pyroxene"
"Jaffeite","Jaffeite","Ca6Si2O7(OH)6"," "
"Jagoite","Jagoite","Pb18Fe3+4[Si4(Si,Fe3+)6][Pb4Si16(Si,Fe)4]O82Cl6"," "
"Jagowerite","Jagowerite","BaAl2(PO4)2(OH)2"," "
"Jagüéite","Jagueite","Cu2Pd3Se4","Chrisstanleyite"
"Jahnsite-(CaFeMg)","Jahnsite-(CaFeMg)","CaFe2+Mg2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(CaMnFe)","Jahnsite-(CaMnFe)","CaMn2+Fe2+2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(CaMnMg)","Jahnsite-(CaMnMg)","CaMn2+Mg2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(CaMnMn)","Jahnsite-(CaMnMn)","CaMn2+Mn2+2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(CaMnZn)","Jahnsite-(CaMnZn)","CaMn2+Zn2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(MnMnFe)","Jahnsite-(MnMnFe)","Mn2+Mn2+Fe2+2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(MnMnMg)","Jahnsite-(MnMnMg)","Mn2+Mn2+Mg2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(MnMnMn)","Jahnsite-(MnMnMn)","Mn2+Mn2+Mn2+2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(MnMnZn)","Jahnsite-(MnMnZn)","Mn2+Mn2+Zn2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(NaFeMg)","Jahnsite-(NaFeMg)","NaFe3+Mg2Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jahnsite-(NaMnMg)","Jahnsite-(NaMnMg)","(Na,Ca)(Mn2+,Fe3+)(Mg,Fe3+)2Fe3+2(PO4)4(OH)2(H2O)8","Jahnsite"
"Jahnsite-(NaMnMn)","Jahnsite-(NaMnMn)","NaMn2+(Mn2+Fe3+)Fe3+2(PO4)4(OH)2·8H2O","Jahnsite"
"Jaipurite","Jaipurite","CoS","Nickeline"
"Jakobssonite","Jakobssonite","CaAlF5"," "
"Jalpaite","Jalpaite","Ag3CuS2","Jalpaite"
"Jamborite","Jamborite","Ni2+1-xCo3+x(OH)2-x(SO4)x·nH2O [x ≤ 1/3 n; ≤ (1-x)]","Hydrotalcite"
"Jamesite","Jamesite","Pb2ZnFe3+2(Fe3+,Zn)4(AsO4)4(OH)8(OH,O)2"," "
"Jamesonite","Jamesonite","Pb4FeSb6S14"," "
"Janchevite","Janchevite","Pb7V5+(O8.5[box]0.5)Cl2","Asisite"
"Janggunite","Janggunite","(Mn4+,Mn2+,Fe3+)6O8(OH)6"," "
"Janhaugite","Janhaugite","Na3Mn2+3Ti2(Si2O7)2(O,OH,F)4","Wöhlerite "
"Jankovićite","Jankovicite","Tl5Sb9(As,Sb)4S22"," "
"Jarandolite","Jarandolite","CaB3O4(OH)3"," "
"Jarlite","Jarlite","Na2(Sr,Na)14(Mg,[box])2Al12F64(OH)4","Jarlite"
"Jarosewichite","Jarosewichite","Mn3+Mn2+3(AsO4)(OH)6"," "
"Jarosite","Jarosite","KFe3+3(SO4)2(OH)6","Alunite-Alunite"
"Jaskólskiite","Jaskolskiite","CuxPb2+x(Sb,Bi)2-xS5 (x ≈ 0.15)","Meneghinite"
"Jasmundite","Jasmundite","Ca11O2(SiO4)4S"," "
"Jasonsmithite","Jasonsmithite","Mn2+4ZnAl(PO4)4(OH)(H2O)7·3.5H2O"," "
"Jasrouxite","Jasrouxite","Ag16Pb4(Sb25As15)Σ40S72","Lillianite"
"Jaszczakite","Jaszczakite","[Bi3S3][AuS2]","Buckhornite"
"Javorieite","Javorieite","KFeCl3"," "
"Jeanbandyite","Jeanbandyite","Fe3+Sn(OH)5O","Perovskite"
"Jeankempite","Jeankempite","Ca5(AsO4)2(AsO3OH)2(H2O)7"," "
"Jedwabite","Jedwabite","Fe7Ta3"," "
"Jeffbenite","Jeffbenite","Mg3Al2Si3O12","Jeffbenite"
"Jeffreyite","Jeffreyite","(Ca,Na)2(Be,Al)Si2(O,OH)7","Melilite"
"Jennite","Jennite","Ca9(Si3O9)2(OH)6·8H2O"," "
"Jensenite","Jensenite","Cu2+3Te6+O6·2H2O"," "
"Jentschite","Jentschite","TlPbAs2SbS6"," "
"Jeppeite","Jeppeite","(K,Ba)2(Ti,Fe3+)6O13","Jeppeite"
"Jeremejevite","Jeremejevite","Al6(BO3)5F3"," "
"Jerrygibbsite","Jerrygibbsite","Mn2+9(SiO4)4(OH)2","Humite"
"Jervisite","Jervisite","NaSc3+Si2O6","Pyroxene"
"Ježekite","Jezekite","Na8[(UO2)(CO3)3](SO4)2·3H2O"," "
"Jianshuiite","Jianshuiite","MgMn4+3O7·3H2O"," "
"Jimboite","Jimboite","Mn2+3(BO3)2"," "
"Jimthompsonite","Jimthompsonite","Mg5Si6O16(OH)2"," "
"Jingsuiite","Jingsuiite","TiB2"," "
"Jinshajiangite","Jinshajiangite","BaNaFe2+4Ti2(Si2O7)2O2(OH)2F","Seidozerite-Bafertisite"
"Joanneumite","Joanneumite","Cu(C3N3O3H2)2(NH3)2"," "
"Joaquinite-(Ce)","Joaquinite-(Ce)","NaBa2Fe2+Ti2Ce2(Si4O12)2O2(OH)·H2O","Joaquinite"
"Joegoldsteinite","Joegoldsteinite","MnCr2S4","Spinel"
"Joëlbruggerite","Joelbruggerite","Pb3Zn3Sb5+As2O13(OH)","Dugganite"
"Joesmithite","Joesmithite","Pb2+Ca2(Mg3Fe3+2)(Si6Be2)O22(OH)2","Amphibole"
"Johachidolite","Johachidolite","CaAlB3O7"," "
"Johanngeorgenstadtite","Johanngeorgenstadtite","Ni2+4.5(AsO4)3","Alluaudite"
"Johannite","Johannite","Cu(UO2)2(SO4)2(OH)2·8H2O","Johannite"
"Johannsenite","Johannsenite","CaMnSi2O6","Pyroxene"
"Johillerite","Johillerite","NaCuMgMg2(AsO4)3","Alluaudite"
"Johnbaumite","Johnbaumite","Ca5(AsO4)3(OH)","Apatite"
"Johninnesite","Johninnesite","Na2Mn2+9Mg7(AsO4)2(Si6O17)2(OH)8"," "
"Johnkoivulaite","Johnkoivulaite","Cs[Be2B]Mg2Si6O18","Beryl"
"Johnsenite-(Ce)","Johnsenite-(Ce)","Na12Ce3Ca6Mn3Zr3WSi25O73(CO3)(OH)2","Eudialyte"
"Johnsomervilleite","Johnsomervilleite","Na10Ca6Mg18Fe2+25(PO4)36","Fillowite"
"Johntomaite","Johntomaite","BaFe2+2Fe3+2(PO4)3(OH)3","Bjarebyite"
"Johnwalkite","Johnwalkite","K(Mn2+,Fe3+)2(Nb,Ta)O2(PO4)2·2(H2O,OH)"," "
"Jôkokuite","Jokokuite","Mn2+(SO4)·5H2O","Chalcanthite"
"Joliotite","Joliotite","(UO2)(CO3)·2H2O"," "
"Jolliffeite","Jolliffeite","NiAsSe","Ullmannite"
"Jonassonite","Jonassonite","Au(Bi,Pb)5S4"," "
"Jonesite","Jonesite","KBa2Ti2(Si5Al)O18·nH2O"," "
"Joosteite","Joosteite","Mn2+Mn3+O(PO4)","Wagnerite"
"Jordanite","Jordanite","Pb14(As,Sb)6S23","Geocronite"
"Jordisite","Jordisite","MoS2","Amorphous"
"Jørgensenite","Jorgensenite","Na2Sr14Na2Al12F64(OH)4","Jarlite"
"Jörgkellerite","Jorgkellerite","Na3Mn3+3(PO4)2(CO3)O2·5H2O","Jorgkellerite"
"Joséite-A","Joseite-A","Bi4TeS2","Tetradymite"
"Joséite-B","Joseite-B","Bi4Te2S","Tetradymite"
"Joteite","Joteite","Ca2CuAl(AsO4)[AsO3(OH)]2(OH)2·5H2O"," "
"Jouravskite","Jouravskite","Ca3Mn4+(SO4)(CO3)(OH)6·12H2O","Ettringite"
"Juabite","Juabite","CaCu10(Te4+O3)4(AsO4)4(OH)2·4H2O"," "
"Juangodoyite","Juangodoyite","Na2Cu(CO3)2"," "
"Juanitaite","Juanitaite","(Cu,Ca,Fe)10Bi(AsO4)4(OH)11·2H2O"," "
"Juanite","Juanite","Ca10(Mg,Fe2+)4(Si,Al)13(O,OH)39·4H2O (?)"," "
"Juansilvaite","Juansilvaite","Na5Al3[AsO3(OH)]4[AsO2(OH)2]2(SO4)2·4H2O"," "
"Julgoldite-(Fe<sup>2+</sup>)","Julgoldite-(Fe2+)","Ca2Fe2+Fe3+2(Si2O7)(SiO4)(OH)2·H2O","Pumpellyite"
"Julgoldite-(Fe<sup>3+</sup>)","Julgoldite-(Fe3+)","Ca2Fe3+Fe3+2(Si2O7)(SiO4)O(OH)·H2O","Pumpellyite"
"Julgoldite-(Mg)","Julgoldite-(Mg)","Ca2MgFe3+2(Si2O7)(SiO4)(OH)2·H2O","Pumpellyite"
"Julienite","Julienite","Na2Co(SCN)4·8H2O"," "
"Jungite","Jungite","Ca2Zn4Fe3+8(PO4)9(OH)9·16H2O"," "
"Junitoite","Junitoite","CaZn2Si2O7·H2O"," "
"Junoite","Junoite","Cu2Pb3Bi8(S,Se)16"," "
"Juonniite","Juonniite","CaMgSc(PO4)2(OH)·4H2O","Overite"
"Jurbanite","Jurbanite","Al(SO4)(OH)·5H2O"," "
"Jusite","Jusite","Na2Ca15Al4Si16O54·17H2O"," "
"Kaatialaite","Kaatialaite","Fe3+[AsO2(OH)2]3·5H2O"," "
"Kadyrelite","Kadyrelite","([Hg1+]2)3OBr3(OH)"," "
"Kaersutite","Kaersutite","NaCa2(Mg3AlTi4+)(Si6Al2)O22O2","Amphibole"
"Kahlenbergite","Kahlenbergite","KAl11O17","Plumboferrite"
"Kahlerite","Kahlerite","Fe2+(UO2)2(AsO4)2·12H2O"," "
"Kainite","Kainite","KMg(SO4)Cl·3H2O"," "
"Kainosite-(Y)","Kainosite-(Y)","Ca2Y2(SiO3)4(CO3)·H2O"," "
"Kainotropite","Kainotropite","Cu4Fe3+O2(V2O7)(VO4)"," "
"Kaitianite","Kaitianite","Ti3+2Ti4+O5","Berdesinskiite"
"Kalborsite","Kalborsite","K6Al4BSi6O20(OH)4Cl","Edingtonite"
"Kalgoorlieite","Kalgoorlieite","As2Te3"," "
"Kaliborite","Kaliborite","KHMg2B12O16(OH)10·4H2O"," "
"Kalicinite","Kalicinite","KH(CO3)"," "
"Kalifersite","Kalifersite","K5Fe3+7Si20O50(OH)6·12H2O"," "
"Kalininite","Kalininite","ZnCr2S4","Spinel"
"Kalinite","Kalinite","KAl(SO4)2·11H2O"," "
"Kaliochalcite","Kaliochalcite","KCu2(SO4)2[(OH)(H2O)]","Natrochalcite"
"Kaliophilite","Kaliophilite","KAlSiO4","Tridymite-Nepheline"
"Kalistrontite","Kalistrontite","K2Sr(SO4)2","Palmierite"
"Kalithallite","Kalithallite","K3Tl3+Cl6·2H2O"," "
"Kalsilite","Kalsilite","KAlSiO4","Tridymite-Nepheline"
"Kalungaite","Kalungaite","PdAsSe","Ullmannite"
"Kamaishilite","Kamaishilite","Ca2(SiAl2)O6(OH)2"," "
"Kamarizaite","Kamarizaite","Fe3+3(AsO4)2(OH)3·3H2O"," "
"Kambaldaite","Kambaldaite","NaNi4(CO3)3(OH)3·3H2O"," "
"Kamchatkite","Kamchatkite","KCu3O(SO4)2Cl"," "
"Kamenevite","Kamenevite","K2TiSi3O9·H2O","Umbite"
"Kamiokite","Kamiokite","Fe2+2Mo4+3O8","Nolanite"
"Kamitugaite","Kamitugaite","PbAl(UO2)5(PO4)3O2(OH)2(H2O)11.5"," "
"Kamotoite-(Y)","Kamotoite-(Y)","Y2O4(UO2)4(CO3)3·14H2O"," "
"Kampelite","Kampelite","Ba3Mg1.5Sc4(PO4)6(OH)3·4H2O"," "
"Kampfite","Kampfite","Ba12(Si11Al5)O31(CO3)8Cl5"," "
"Kamphaugite-(Y)","Kamphaugite-(Y)","CaY(CO3)2(OH)·H2O"," "
"Kanemite","Kanemite","NaSi2O4(OH)·3H2O"," "
"Kangite","Kangite","(Sc,Ti,Al,Zr,Mg,Ca,[box])2O3","Bixbyite"
"Kangjinlaite","Kangjinlaite","Ti11Si10"," "
"Kaňkite","Kankite","Fe3+(AsO4)·3.5H2O","Kaňkite"
"Kannanite","Kannanite","Ca4Al4(MgAl)(VO4)(SiO4)2(Si3O10)(OH)6","Ardennite"
"Kanoite","Kanoite","MnMgSi2O6","Pyroxene"
"Kanonaite","Kanonaite","Mn3+AlOSiO4","Andalusite"
"Kanonerovite","Kanonerovite","Na3MnP3O10·12H2O","Kanonerovite"
"Kaolinite","Kaolinite","Al2Si2O5(OH)4","Kaolinite"
"Kapellasite","Kapellasite","Cu3Zn(OH)6Cl2","Atacamite"
"Kapitsaite-(Y)","Kapitsaite-(Y)","Ba4Y2Si8B4O28F","Hyalotekite"
"Kapundaite","Kapundaite","CaNaFe3+4(PO4)4(OH)3·5H2O"," "
"Kapustinite","Kapustinite","Na6ZrSi6O16(OH)2","Lovozerite-Zirsinalite–Lovozerite"
"Karasugite","Karasugite","SrCaAlF7"," "
"Karchevskyite","Karchevskyite","Mg18Al9(OH)54Sr2(CO3)9(H2O)6(H3O)5","Hydrotalcite"
"Karelianite","Karelianite","V2O3","Corundum"
"Karenwebberite","Karenwebberite","NaFe2+(PO4)","Olivine"
"Karibibite","Karibibite","Fe3+3(As3+O2)4(As3+2O5)(OH)"," "
"Karlditmarite","Karlditmarite","Cu9O4(PO4)2(SO4)2"," "
"Karlite","Karlite","(Mg,Al)6.5(BO3)3(OH)4([box],Cl)0.5"," "
"Karnasurtite-(Ce)","Karnasurtite-(Ce)","CeTiAlSi2O7(OH)4·3H2O"," "
"Karpenkoite","Karpenkoite","Co3(V2O7)(OH)2·2H2O","Volborthite"
"Karpinskite","Karpinskite","(Mg,Ni)2Si2O5(OH)2 (?)","Corrensite"
"Karpovite","Karpovite","Tl2VO(SO4)2(H2O)"," "
"Karupmøllerite-Ca","Karupmollerite-Ca","(Na,Ca,K)2Ca(Nb,Ti)4(Si4O12)2(O,OH)4·7H2O","Labuntsovite"
"Kasatkinite","Kasatkinite","Ba2Ca8B5Si8O32(OH)3·6H2O"," "
"Kashinite","Kashinite","Ir2S3","Bowieite"
"Kaskasite","Kaskasite","(Mo,Nb)S2·(Mg1-xAlx)(OH)2+x","Valleriite"
"Kasolite","Kasolite","Pb(UO2)(SiO4)·H2O"," "
"Kassite","Kassite","CaTi2O4(OH)2"," "
"Kastningite","Kastningite","Mn2+Al2(PO4)2(OH)2·8H2O","Stewartite"
"Katayamalite","Katayamalite","KLi3Ca7Ti2(SiO3)12(OH)2","Baratovite"
"Katerinopoulosite","Katerinopoulosite","(NH4)2Zn(SO4)2·6H2O","Picromerite"
"Katiarsite","Katiarsite","KTiO(AsO4)","Katiarsite"
"Katoite","Katoite","Ca3Al2(OH)12","Garnet"
"Katophorite","Katophorite","Na(NaCa)(Mg4Al)(Si7Al)O22(OH)2","Amphibole"
"Katoptrite","Katoptrite","Mn2+13Al4Sb5+2O20(SiO4)2","Katoptrite"
"Katsarosite","Katsarosite","Zn(C2O4)·2H2O","Oxalate"
"Kawazulite","Kawazulite","Bi2Te2Se","Tetradymite"
"Kayrobertsonite","Kayrobertsonite","MnAl2(PO4)2(OH)2·6H2O","Nordgauite"
"Kazakhstanite","Kazakhstanite","Fe3+5V4+3V5+12O39(OH)9·9H2O"," "
"Kazakovite","Kazakovite","Na6Mn2+TiSi6O18","Lovozerite-Zirsinalite–Lovozerite"
"Kazanskyite","Kazanskyite","Ba[box]TiNbNa3Ti(Si2O7)2O2(OH)2(H2O)2","Seidozerite-Lamprophyllite"
"Keckite","Keckite","CaMn(Fe3+,Mn)2Fe3+2(PO4)4(OH)3·7H2O","Jahnsite"
"Kegelite","Kegelite","Pb4Al2Si4O10(SO4)(CO3)2(OH)4"," "
"Kegginite","Kegginite","Pb3Ca3[AsV12O40(VO)]·20H2O"," "
"Keilite","Keilite","FeS","Rocksalt"
"Keithconnite","Keithconnite","Pd20Te7"," "
"Keiviite-(Y)","Keiviite-(Y)","Y2Si2O7","Thortveitite"
"Keiviite-(Yb)","Keiviite-(Yb)","Yb2Si2O7","Thortveitite"
"Keldyshite","Keldyshite","Na2ZrSi2O7"," "
"Kellyite","Kellyite","(Mn2+,Mg,Al)3(Si,Al)2O5(OH)4","Serpentine"
"Kelyanite","Kelyanite","Hg12SbO6BrCl2"," "
"Kemmlitzite","Kemmlitzite","SrAl3(AsO4)(SO4)(OH)6","Alunite-beudantite"
"Kempite","Kempite","Mn2+2Cl(OH)3","Atacamite"
"Kenhsuite","Kenhsuite","Hg3S2Cl2"," "
"Kenngottite","Kenngottite","Mn2+3Fe3+4(PO4)4(OH)6(H2O)2","Souzalite"
"Kenoargentotennantite-(Fe)","Kenoargentotennantite-(Fe)","Ag6(Cu4Fe2)As4S12","Tetrahedrite"
"Kenoargentotetrahedrite-(Fe)","Kenoargentotetrahedrite-(Fe)","Ag6(Cu4Fe2)Sb4S12[box]","Tetrahedrite"
"Kenoargentotetrahedrite-(Zn)","Kenoargentotetrahedrite-(Zn)","Ag6(Cu4Zn2)Sb4S12[box]","Tetrahedrite"
"Kenoplumbomicrolite","Kenoplumbomicrolite","(Pb,[box])2Ta2O6[[box],(OH),O]","Pyrochlore-microlite"
"Kenotobermorite","Kenotobermorite","Ca4Si6O15(OH)2(H2O)2·3H2O","Tobermorite"
"Kentbrooksite","Kentbrooksite","(Na,REE)15(Ca,REE)6Mn3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2","Eudialyte"
"Kentrolite","Kentrolite","Pb2Mn3+2O2(Si2O7)"," "
"Kenyaite","Kenyaite","Na2Si22O41(OH)8·6H2O"," "
"Keplerite","Keplerite","Ca9(Ca0.5[box]0.5)Mg(PO4)7","Cerite"
"Kerimasite","Kerimasite","Ca3Zr2(SiFe3+2)O12","Garnet"
"Kermesite","Kermesite","Sb2OS2"," "
"Kernite","Kernite","Na2B4O6(OH)2·3H2O"," "
"Kernowite","Kernowite","Cu2Fe3+(AsO4)(OH)4·4H2O","Liroconite"
"Kesebolite-(Ce)","Kesebolite-(Ce)","CeCa2Mn(AsO4)(SiO3)3"," "
"Kësterite","Kesterite","Cu2ZnSnS4","Sphalerite"
"Kettnerite","Kettnerite","CaBiO(CO3)F","Bismutite"
"Keutschite","Keutschite","Cu2AgAsS4","Sphalerite"
"Keyite","Keyite","([box]0.5Cu0.5)CuCdZn2(AsO4)3·H2O","Alluaudite"
"Keystoneite","Keystoneite","Mg0.5NiFe3+(Te4+O3)3·4H2O","Zemannite"
"Khademite","Khademite","Al(SO4)F·5H2O","Khademite"
"Khaidarkanite","Khaidarkanite","Cu4Al3(OH)14F3·2H2O","Cyanotrichite"
"Khamrabaevite","Khamrabaevite","TiC","Rocksalt"
"Khanneshite","Khanneshite","(Na,Ca)3(Ba,Sr,Ce,Ca)3(CO3)5","Burbankite"
"Kharaelakhite","Kharaelakhite","(Cu,Pt,Pb,Fe,Ni)9S8","Pentlandite"
"Khatyrkite","Khatyrkite","CuAl2","Khatyrkite"
"Khesinite","Khesinite","Ca4(Mg2Fe3+10)O4(Fe3+10Si2)O36","Sapphirine"
"Khibinskite","Khibinskite","K2ZrSi2O7"," "
"Khinite","Khinite","Cu2+3PbTe6+O6(OH)2"," "
"Khmaralite","Khmaralite","Mg4(Mg3Al9)O4[Si5Be2Al5O36]","Sapphirine"
"Khomyakovite","Khomyakovite","Na12Sr3Ca6Fe3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2","Eudialyte"
"Khorixasite","Khorixasite","(Bi0.67[box]0.33)Cu(VO4)(OH)","Descloizite"
"Khrenovite","Khrenovite","Na3Fe3+2(AsO4)3","Alluaudite"
"Khristovite-(Ce)","Khristovite-(Ce)","CaCe(MgAlMn2+)[Si2O7][SiO4]F(OH)","Epidote"
"Khurayyimite","Khurayyimite","Ca7Zn4(Si2O7)2(OH)10·4H2O"," "
"Khvorovite","Khvorovite","Pb4Ca2[Si8B2(SiB)O28]F","Hyalotekite"
"Kiddcreekite","Kiddcreekite","Cu6WSnS8"," "
"Kidwellite","Kidwellite","NaFe3+9+x(PO4)6(OH)11·3H2O (x ≈ 0.33)"," "
"Kieftite","Kieftite","CoSb3","Perovskite"
"Kieserite","Kieserite","Mg(SO4)·H2O","Kieserite"
"Kihlmanite-(Ce)","Kihlmanite-(Ce)","Ce2TiO2(SiO4)(HCO3)2(H2O)","Tundrite"
"Kilchoanite","Kilchoanite","Ca6(SiO4)(Si3O10)"," "
"Killalaite","Killalaite","Ca6.4[H0.6Si2O7]2(OH)2"," "
"Kimrobinsonite","Kimrobinsonite","Ta(OH)3(O,CO3)"," "
"Kimuraite-(Y)","Kimuraite-(Y)","CaY2(CO3)4·6H2O","Tengerite"
"Kimzeyite","Kimzeyite","Ca3Zr2(SiAl2)O12","Garnet"
"Kingite","Kingite","Al3(PO4)2F2(OH)·7H2O"," "
"Kingsgateite","Kingsgateite","ZrMo6+2O7(OH)2·2H2O"," "
"Kingsmountite","Kingsmountite","Ca3MnFe2+Al4(PO4)6(OH)4·12H2O","Calcioferrite"
"Kingstonite","Kingstonite","Rh3S4","Kingstonite"
"Kinichilite","Kinichilite","Mg0.5Mn2+Fe3+(Te4+O3)3·4.5H2O","Zemannite"
"Kinoite","Kinoite","Ca2Cu2Si3O10·2H2O"," "
"Kinoshitalite","Kinoshitalite","BaMg3(Si2Al2O10)(OH)2","Clay"
"Kintoreite","Kintoreite","PbFe3+3(PO4)(PO3OH)(OH)6","Alunite-crandallite"
"Kipushite","Kipushite","Cu6(PO4)2(OH)6·H2O","Philipsburgite"
"Kircherite","Kircherite","[Na5Ca2K](Si6Al6O24)(SO4)2·0.33H2O","Cancrinite"
"Kirchhoffite","Kirchhoffite","CsBSi2O6"," "
"Kirkiite","Kirkiite","Pb10Bi3As3S19"," "
"Kirschsteinite","Kirschsteinite","CaFe2+(SiO4)","Olivine"
"Kishonite","Kishonite","VH2"," "
"Kitagohaite","Kitagohaite","Pt7Cu"," "
"Kitkaite","Kitkaite","NiTeSe","Melonite"
"Kittatinnyite","Kittatinnyite","Ca2Mn2+Mn3+2(SiO4)2(OH)4·9H2O"," "
"Kladnoite","Kladnoite","C6H4(CO)2NH"," "
"Klajite","Klajite","MnCu4(AsO4)2(AsO3OH)2·9H2O","Lindackerite"
"Klaprothite","Klaprothite","Na6(UO2)(SO4)4(H2O)4"," "
"Klebelsbergite","Klebelsbergite","Sb3+4O4(SO4)(OH)2","Klebelsbergite"
"Kleberite","Kleberite","Fe3+Ti6O11(OH)5","Tivanite"
"Kleemanite","Kleemanite","ZnAl2(PO4)2(OH)2·3H2O"," "
"Kleinite","Kleinite","(Hg2N)(Cl,SO4)·nH2O"," "
"Klöchite","Klochite","(Fe2+Fe3+)[box]2KZn3(Si12O30)","Milarite"
"Klockmannite","Klockmannite","Cu5.2Se6","Covellite"
"Klyuchevskite","Klyuchevskite","K3Cu3Fe3+O2(SO4)4","Klyuchevskite"
"Knasibfite","Knasibfite","K3Na4(SiF6)3(BF4)"," "
"Knorringite","Knorringite","Mg3Cr2(SiO4)3","Garnet"
"Koashvite","Koashvite","Na6CaTiSi6O18","Lovozerite-Koashvite"
"Kobeite-(Y)","Kobeite-(Y)","(Y,U)(Ti,Nb)2(O,OH)6 (?)"," "
"Kobellite","Kobellite","Pb11(Cu,Fe)2(Bi,Sb)15S35","Kobellite"
"Kobokoboite","Kobokoboite","Al6(PO4)4(OH)6·11H2O"," "
"Kobyashevite","Kobyashevite","Cu5(SO4)2(OH)6·4H2O"," "
"Kochite","Kochite","Ca2MnZrNa3Ti(Si2O7)2(OF)F2","Seidozerite-Rinkite"
"Kochkarite","Kochkarite","PbBi4Te7","Tetradymite"
"Kochsándorite","Kochsandorite","CaAl2(CO3)2(OH)4·H2O","Dundasite"
"Kodamaite","Kodamaite","Na3(Ca5Na)Si16O36(OH)4F2·(14-<i>x</i>)H2O (x ≈ 5)","Gyrolite"
"Koechlinite","Koechlinite","Bi2MoO6"," "
"Koenenite","Koenenite","Na4Mg9Al4Cl12(OH)22"," "
"Kogarkoite","Kogarkoite","Na3(SO4)F"," "
"Kojonenite","Kojonenite","Pd7-xSnTe2 (0.3 ≤ x ≤ 0.8)"," "
"Kokchetavite","Kokchetavite","K(AlSi3O8)","Dmisteinbergite"
"Kokinosite","Kokinosite","Na2Ca2(V10O28)·24H2O"," "
"Koksharovite","Koksharovite","CaMg2Fe3+4(VO4)6","Howardevansite"
"Koktaite","Koktaite","(NH4)2Ca(SO4)2·H2O"," "
"Kolarite","Kolarite","PbTeCl2"," "
"Kolbeckite","Kolbeckite","Sc(PO4)·2H2O","Phosphosiderite"
"Kolfanite","Kolfanite","Ca2Fe3+3O2(AsO4)3·2H2O","Arseniosiderite"
"Kolicite","Kolicite","Zn4Mn2+7(AsO4)2(SiO4)2(OH)8"," "
"Kolitschite","Kolitschite","Pb[Zn0.5,[box]0.5]Fe3(AsO4)2(OH)6","Alunite"
"Kollerite","Kollerite","(NH4)2Fe3+(SO3)2(OH)·H2O"," "
"Kolovratite","Kolovratite","(Ni,Zn)x(VO4)·nH2O"," "
"Kolskyite","Kolskyite","(Ca[box])Ti2Na2Ti2(Si2O7)2O4(H2O)7","Seidozerite-Murmanite"
"Kolwezite","Kolwezite","CuCo(CO3)(OH)2","Malachite"
"Kolymite","Kolymite","Cu7Hg6"," "
"Komarovite","Komarovite","(Ca,Sr,Na)6-x(Nb,Ti)6(Si4O12)(O,OH,F)16·nH2O"," "
"Kombatite","Kombatite","Pb14O9(VO4)2Cl4"," "
"Komkovite","Komkovite","BaZrSi3O9·3H2O"," "
"Konderite","Konderite","PbCu3Rh8S16"," "
"Koninckite","Koninckite","Fe3+(PO4)·3H2O"," "
"Kononovite","Kononovite","NaMg(SO4)F","Titanite"
"Konyaite","Konyaite","Na2Mg(SO4)2·5H2O","Picromerite"
"Koragoite","Koragoite","Mn2+2Mn3+Nb2(Nb,Ta)3W2O20"," "
"Koritnigite","Koritnigite","Zn(AsO3OH)·H2O","Koritnigite"
"Kornelite","Kornelite","Fe3+2(SO4)3·7H2O (?)"," "
